Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,,,689.6,,,,,,,,695,,,,,,,615.5,613.9,612.4,610.9,596.8,592.6,588.9,585.6,585.1,558,559.3,,
Austria,414.8,402.2,405.6,423.3,427.8,435,512.6,528,527.3,558.4,575.8,572.3,604.1,603.2,570.4,573.3,595.3,595.5,599,587.7,559,568.6,574.4,573.3,560.9,557.2,563.4,568.9,575.7,582.9
Belgium,343.4,,,,,452.9,447.4,454.9,449.6,458.5,469.8,465.3,480.6,463,482.7,479,481.6,490.1,476.9,464.3,454.5,456,446,436.4,424.4,411.3,418,409.1,407.4,414.2
Chile,,,,,,,,,,,294.6,291,296.3,303,310,316,324.7,332.3,335.6,342.3,347.9,356.4,,,383.6,400.5,397,439.7,436.6,
Colombia,,,,,,,,,,,,,,127.5,145.6,177.8,175.5,209.3,206.8,251.9,198.6,212.1,195.2,196.7,194.7,209.8,236.6,222,243.3,
Costa Rica,,,,,,,,,,,,,,,,,,,,,329,358.1,362.2,369.5,372.9,387.2,248.6,256,292.4,266.3
Czech Republic,,,,,240.3,301.2,309.2,317.3,292.3,326.5,333.7,272.4,277.5,279,277.5,288,295.1,292.1,304.6,315.6,316.4,317.8,305.5,304.9,307.9,314.8,337.1,486.5,492,499.3
Denmark,,,,,537.8,520.8,619,588.1,592.6,625.5,663.9,656.8,664.1,671.6,695.4,735.9,738.6,788.5,829.4,761.1,757.2,860.3,803.4,809.5,804.7,821.1,832.9,824.8,819.7,850.2
Estonia,,,,,,371.9,398.5,420.7,396.1,405.3,452.4,365.4,400.1,412.8,444.6,433.1,397.2,447.8,391,338.3,304.8,300.5,280.4,292.9,356.7,359.3,375.5,389.3,404.8,369.5
Finland,,,,,412,411.9,408.8,446.5,464.7,483,501.2,463.8,457.4,464.5,468,476.5,492.7,504.9,520.4,479.6,469.5,504.4,505.7,493,481.5,499.6,503.5,510.1,550.7,564.5
France,,,460.7,471.6,,476.2,486,496.3,507.1,507.4,514.8,527.3,531.4,506.7,519.6,530.3,536.6,543,538.8,534.7,534.7,534.5,527,519.7,516.8,515.9,529.3,534.8,534.5,546
Germany,630.7,,,,,627.2,646.1,663,651.8,643.5,648.8,639.3,647.2,608,593.2,570.5,569.8,589.2,596.6,599.1,609.2,621.3,614.5,610.7,627.4,631.2,634.3,626.6,604.6,606
Greece,293.4,,307.1,,,297.8,332.3,357.6,372.1,386.7,401.3,409.4,414.9,419.9,425.6,432.3,440.5,449.8,459.9,470.3,543.5,515.8,506.7,492,496.7,495,505.6,512.3,524.9,535.9
Hungary,530,,,,,459.2,467.8,486.6,484.1,482.3,445.4,451.6,457,463.4,454,460.6,468.5,458.2,455.7,433,406.3,384.9,404.3,380.1,387,379.6,381.5,387.3,384.1,390.3
