month,total waste generated (kg/day)
2021-03-01,144.26460523076165
2021-03-02,108.61491052496548
2021-03-03,154.14937207234237
2021-03-04,119.62507651337208
2021-03-05,157.66979185503766
2021-03-06,120.81072918476465
2021-03-07,98.01228177173982
2021-03-08,136.01834766754962
2021-03-09,100.36865296170072
2021-03-10,145.90311450908746
2021-03-11,111.37881895025697
2021-03-12,149.4235342919005
2021-03-13,112.56447162171573
2021-03-14,89.76602420861957
2021-03-15,127.7720901043376
2021-03-16,92.12239539843591
2021-03-17,137.65685694581794
2021-03-18,103.13256138693866
2021-03-19,141.1772767286067
2021-03-20,104.31821405830547
2021-03-21,81.51976664533045
2021-03-22,119.52583254106283
2021-03-23,83.8761378352251
2021-03-24,129.410599382563
2021-03-25,94.88630382362035
2021-03-26,132.93101916531293
2021-03-27,96.07195649507585
2021-03-28,73.27350908203645
2021-03-29,111.27957497772712
2021-03-30,75.62988027190634
