Year,Waste generated in tonnes
1950,28632.73525
1951,29704.81325
1952,30898.76475
1953,32137.17325
1954,33427.065
1955,34768.6955
1956,36166.025
1957,37615.60425
1958,39125.35375
1959,40695.65675
1960,42331.36775
1961,44014.34625
1962,45738.71575
1963,47530.665
1964,49395.43175
1965,51327.77825
1966,53338.691
1967,55428.4255
1968,57602.986
1969,59856.496
1970,62201.475
1971,64370.159
1972,65787.28975
1973,67231.759
1974,68709.95425
1975,70220.598
1976,71766.6285
1977,73342.297
1978,74954.88525
1979,76602.86025
1980,78289.41575
1981,80588.40475
1982,84159.656
1983,87889.31725
1984,91789.6525
1985,95851.5915
1986,100099.279
1987,104535.27
1988,109174.3835
1989,114005.633
1990,119057.89
1991,122919.3893
1992,124048.0605
1993,125183.8858
1994,126331.7195
1995,127490.1565
1996,128660.7298
1997,129838.8403
1998,131029.3425
1999,132230.8313
2000,133444.9673
2001,136377.724
2002,142925.8058
2003,149788.2803
2004,156990.3143
2005,164517.3443
2006,172416.51
2007,180694.9655
2008,189382.9875
2009,198463.202
2010,207992.2023
2011,217978.803
2012,228444.8495
2013,239413.4645
2014,250908.7928
2015,262956.001
2016,275581.6613
2017,288813.4953
2018,302680.7578
2019,316427.552
2020,330202.068
2021,343737.3083
